,size,true_value_max,true_value_min,value_max,value_max_time,value_min_def,value_min_def_time,delta_max,delta_min
1446,16,8.113792600072617,0.1893316966782987,8.113792653263307,0.0,0.7244291188742469,1.2347240447998047,5.319068918652192e-08,0.5350974221959481
1447,16,7.916789847725199,0.31563440992450287,7.916790079296446,0.0,0.3156477810298844,0.0,2.3157124662276374e-07,1.3371105381521087e-05
1448,16,8.508483512605975,0.05624664816048257,8.508483335661074,0.0,0.05624664578988552,0.0,1.7694490139774643e-07,2.370597045053824e-09
1449,16,7.878967713466223,0.09517271372660935,7.8789662920075925,0.0,0.09517270182363749,0.0,1.4214586308014532e-06,1.1902971858157585e-08
1450,16,8.123150492684747,0.07836337214721023,8.123149514249796,0.0,0.07836337539491486,0.0,9.784349508379364e-07,3.2477046330026127e-09
1451,16,8.115732344139712,0.1557013583072484,8.115732704919145,0.0,0.1557013230597672,0.0,3.60779432995173e-07,3.5247481211531095e-08
1452,16,7.975113187616184,0.013348164366334282,7.975112438241068,0.0,0.013348164528472943,0.0,7.493751166265383e-07,1.6213866187164694e-10
1453,16,8.13134971047576,0.1307538252332608,8.131350006153527,0.0,0.15246920146258428,1.248460292816162,2.9567776671513e-07,0.021715376229323485
1454,16,7.765630965717562,0.23202001321439425,7.765631103685425,0.0,0.23201890619719612,0.0,1.3796786291209173e-07,1.1070171981319987e-06
1455,16,8.290411390492856,0.15040527034880322,8.290410969221464,0.0,0.1504047470673101,0.0,4.212713928808398e-07,5.232814931088736e-07
1456,16,8.342975905952795,0.3227435670838482,8.342976436681447,0.0,0.3227434450038253,0.0,5.307286521372134e-07,1.2208002292402043e-07
1457,16,8.138445159274207,0.186972802557001,8.138445821381382,0.0,0.18697220060823633,0.0,6.62107174420612e-07,6.019487646669042e-07
1458,16,8.271464762241107,0.24074743729802534,8.271462949682716,0.0,0.24074540606103081,0.0,1.8125583913786159e-06,2.031236994520791e-06
1459,16,8.408817236203662,0.2490104960461337,8.408816968178131,0.0,0.5368170627431766,1.229182481765747,2.680255306586332e-07,0.28780656669704296
1460,16,7.923689897620554,0.40188590540764635,7.9236900883454116,0.0,0.48399873014532785,1.2427716255187988,1.9072485724080934e-07,0.0821128247376815
1461,16,7.96702144267839,0.3282631718455631,7.967021692034929,0.0,2.2602683196672615,1.2365071773529053,2.493565389727337e-07,1.9320051478216984
1462,16,7.763146059858546,0.25826498878397436,7.763146480652658,0.0,0.3832162872905453,1.2269952297210693,4.2079411155526714e-07,0.12495129850657094
1463,16,8.269080703279638,0.06325016649653882,8.26908044408722,0.0,0.06325015484650032,0.0,2.5919241863903153e-07,1.1650038503341342e-08
1464,16,8.057769046097611,0.039572050830307265,8.057769347572577,0.0,0.03957204060676915,0.0,3.0147496588028844e-07,1.0223538113307562e-08
1465,16,7.6111891128682965,0.14707030085827036,7.611189326034849,0.0,0.14707022363222882,0.0,2.1316655285374964e-07,7.722604153381774e-08
1466,16,7.77158867239865,0.3133717114221413,7.771588046878652,0.0,0.3133730862151661,0.0,6.255199984650517e-07,1.3747930247554052e-06
1467,16,7.978180396571418,0.20309847475710888,7.97818123237581,0.0,0.24346699338439462,1.2435674667358398,8.358043919187708e-07,0.04036851862728574
1468,16,7.843046656365603,0.006210251766534117,7.843046975989085,0.0,0.0062102517655335115,0.0,3.1962348234770843e-07,1.000605848178182e-12
1469,16,8.486346107428338,0.12574701395179488,8.486346059900114,0.0,0.12574686668935497,0.0,4.7528223134918335e-08,1.4726243990903498e-07
1470,16,7.937459534726789,0.08451616632840739,7.937459851574349,0.0,0.08451615610419869,0.0,3.1684756063299346e-07,1.0224208701892223e-08
1471,16,8.765037684215601,0.05202508591131662,8.765037898001605,0.0,0.0520250852366555,0.0,2.137860040107853e-07,6.746611186381202e-10
1472,16,7.501853194013287,0.16056351494777724,7.501853462127709,0.0,0.16056360333759612,0.0,2.6811442221941206e-07,8.838981888081854e-08
1473,16,8.340378860167192,0.4108896259704756,8.340378694990514,0.0,0.41088530454977734,0.0,1.651766776689101e-07,4.32142069828334e-06
1474,16,8.051126900643316,0.13055925876942898,8.051127259895958,0.0,0.2424133795442623,1.2769079208374023,3.592526418572106e-07,0.11185412077483331
1475,16,7.824624028515226,0.03949834666506806,7.824622961069343,0.0,0.03949834671925108,0.0,1.0674458827963917e-06,5.418301918247437e-11
1476,16,8.088170002627681,0.021021753254945284,8.088169257631746,0.0,0.021021753440304606,0.0,7.449959351646385e-07,1.853593216416538e-10
1477,16,8.236222594618186,0.0598792085470344,8.23622255390647,0.0,0.06012896375139377,1.2477285861968994,4.0711714888175266e-08,0.00024975520435936704
1478,16,8.228832996945588,0.24138879350704825,8.228833256042726,0.0,0.24138807652474265,0.0,2.590971384108798e-07,7.169823056096813e-07
1479,16,8.08063432406277,0.08885207432086631,8.080633101105732,0.0,0.08885208961661313,0.0,1.2229570369726162e-06,1.5295746821908374e-08
1480,16,8.006642310109813,0.24541669740274438,8.006641325163022,0.0,0.2454165541863534,0.0,9.849467907940834e-07,1.43216390996459e-07
1481,16,8.201859475735816,0.08791586364561409,8.201859333457026,0.0,0.08791585186666043,0.0,1.4227878963879448e-07,1.1778953659669078e-08
1482,16,7.809711468474944,0.6193076162476266,7.809710937931954,0.0,2.2075879229037385,1.0922961235046387,5.305429899848946e-07,1.5882803066561118
1483,16,8.092588619724072,0.12149287997518889,8.092589689600583,0.0,0.1894510663114897,1.2419180870056152,1.0698765109395936e-06,0.06795818633630081
1484,16,8.554231109002508,0.1383176644796583,8.554230274011985,0.0,0.13831768696779398,0.0,8.349905229465548e-07,2.248813568694885e-08
1485,16,8.499020782673053,0.16172620179591082,8.499018707121692,0.0,0.8246749893002564,1.2396137714385986,2.075551361002681e-06,0.6629487875043456
1486,16,8.352849947279458,0.1077704177438804,8.352847307443156,0.0,0.859695399858671,1.2463488578796387,2.63983630155451e-06,0.7519249821147906
1487,16,7.950497857667427,0.1577403127387098,7.950497963798341,0.0,0.1577402910801603,0.0,1.0613091383504525e-07,2.1658549509417924e-08
1488,16,7.732186748658211,0.27776346229806725,7.732188202394515,0.0,0.27776314579729433,0.0,1.4537363037803175e-06,3.165007729233338e-07
1489,16,7.904743097038781,0.17631891637605254,7.904740730374559,0.0,0.17632005605281362,0.0,2.366664221931103e-06,1.1396767610749592e-06
1490,16,8.156320845440103,0.20612544951320672,8.156341477581611,0.0,0.20612530121250386,0.0,2.0632141508158952e-05,1.483007028568739e-07
1491,16,8.055232796261983,0.2567820007920127,8.055233469135521,0.0,0.25678243669185036,0.0,6.728735382210971e-07,4.358998376696732e-07
1492,16,8.061972678317714,0.14887667991200673,8.061971383072187,0.0,0.14887678374292795,0.0,1.2952455268333551e-06,1.0383092122201454e-07
1493,16,8.169987908518031,0.014321207221687934,8.16998811369942,0.0,0.014321207176685481,0.0,2.0518138832414934e-07,4.5002453152864774e-11
1494,16,7.63160091236996,0.23151421306043943,7.631615425492169,0.0,0.23151450252373906,0.0,1.451312220890344e-05,2.8946329963530637e-07
1495,16,8.230508168346606,0.12355655320277623,8.230505796340855,0.0,0.12355648592316838,0.0,2.372005750927997e-06,6.727960784325138e-08
1496,16,7.841802637164863,0.3990814815431122,7.841803313920166,0.0,0.4460365348999898,1.2263243198394775,6.767553033526497e-07,0.04695505335687761
1497,16,7.840555161725677,0.09708359200474118,7.840554496143037,0.0,0.09708356339653637,0.0,6.655826396695375e-07,2.8608204805102844e-08
1498,16,8.118716886635166,0.06264482869342371,8.118717201637407,0.0,0.0626448211208347,0.0,3.150022411801956e-07,7.57258900030422e-09
1499,16,8.092057151867257,0.022556932728217,8.092056591447138,0.0,0.02255693263133583,0.0,5.604201191999891e-07,9.688116975326011e-11
1500,16,8.09512796140266,0.27896468355097015,8.09512919064529,0.0,1.0078476122433695,1.2222695350646973,1.2292426294635561e-06,0.7288829286923993
1501,17,8.464360304444254,0.07987282726610292,8.464360047419863,0.0,0.07987271103500498,0.0,2.570243911037551e-07,1.1623109794078879e-07
1502,17,8.634262230044497,0.11806942807516056,8.634261253878753,0.0,0.118069514134293,0.0,9.761657437934446e-07,8.605913243142638e-08
1503,17,8.16707582650197,0.394224761486734,8.167076119907797,0.0,0.3942135260093213,0.0,2.9340582763381917e-07,1.1235477412718797e-05
1504,17,8.693570398694144,0.2496157053119725,8.693568711745217,0.0,0.24961544597181767,0.0,1.686948927215326e-06,2.5934015482342865e-07
1505,17,8.277608395451313,0.32443047443393297,8.27760833476724,0.0,0.43314133129474414,1.2359528541564941,6.068407287784794e-08,0.10871085686081117
1506,17,8.053328076912571,0.3560895133940995,8.053328414205355,0.0,0.590343837535775,1.2494335174560547,3.3729278392513606e-07,0.23425432414167552
1507,17,8.222057690711683,0.20547433487058342,8.222056564806277,0.0,0.2054732076009781,0.0,1.1259054062406904e-06,1.1272696053277187e-06
1508,17,8.526496067316703,0.22114250866208335,8.52649643182515,0.0,0.22114273913173996,0.0,3.645084465375703e-07,2.3046965660911134e-07
1509,17,8.955678090745911,0.10048503206888446,8.955678566945759,0.0,0.10048502625518725,0.0,4.76199847554426e-07,5.813697204204438e-09
1510,17,9.108576421029678,0.3077487586185246,9.108576700724134,0.0,0.21118499889523384,1.2354576587677002,2.796944560401471e-07,0.09656375972329073
1511,17,8.81440678746348,0.2880128019289865,8.81440846326935,0.0,0.7490456687590323,0.10996198654174805,1.6758058709598345e-06,0.46103286683004585
1512,17,8.751468513729009,0.10694908319236776,8.751470570275288,0.0,0.10694897670192414,0.0,2.0565462790500533e-06,1.0649044361599191e-07
1513,17,8.375198337861505,0.03318097841634304,8.3751952176668,0.0,0.0331809784340974,0.0,3.1201947052750256e-06,1.7754353542898116e-11
1514,17,8.201384500998389,0.04559353917832214,8.201380932051801,0.0,0.045593539353185955,0.0,3.568946587151345e-06,1.7486381787001903e-10
1515,17,8.791099109033567,0.14200047584334546,8.791099747893435,0.0,0.14200043231372836,0.0,6.388598681184021e-07,4.35296171052979e-08
1516,17,8.567663050330115,0.31835658732720223,8.567664248185945,0.0,0.31835690584492526,0.0,1.1978558305258957e-06,3.1851772303026493e-07
1517,17,8.694743242337232,0.3115156067509634,8.69474219522853,0.0,0.29983607184071054,1.2364912033081055,1.0471087019681136e-06,0.011679534910252864
1518,17,8.331597037820117,0.10611488226922886,8.331604286314825,0.0,0.10611490128292887,0.0,7.248494707567943e-06,1.9013700017223023e-08
1519,17,8.706439442350321,0.16044675258952512,8.706440590932107,0.0,0.16044704061032022,0.0,1.1485817861256464e-06,2.8802079510281686e-07
1520,17,8.891898773659527,0.30828414565024803,8.891900884697053,0.0,0.30831019835704965,0.0,2.1110375261201852e-06,2.6052706801615866e-05
1521,17,8.14325917528028,0.487683090334014,8.143259113794304,0.0,0.5075059985313085,1.2477045059204102,6.148597542221523e-08,0.019822908197294486
1522,17,8.840059648073412,0.20698876017774695,8.840059081058728,0.0,0.20698885737373904,0.0,5.67014684094147e-07,9.719599208812824e-08
1523,17,8.15015023626731,0.08891859744626492,8.150153936038064,0.0,0.08891860279353822,0.0,3.6997707546504444e-06,5.3472733047010834e-09
1524,17,8.13989425716398,0.00763690998778285,8.139895095289807,0.0,0.007636909989873909,0.0,8.381258265188762e-07,2.091059096709369e-12
1525,17,8.266777933079515,0.17133460400803163,8.266797005101743,0.0,0.1713344834805329,0.0,1.9072022228172614e-05,1.2052749873148194e-07
1526,17,8.618323308011187,0.04490728950794754,8.618322762270319,0.0,0.04490729136059465,0.0,5.457408676079467e-07,1.8526471121105281e-09
1527,17,8.609725915370742,0.21262260249635812,8.609726108263489,0.0,0.21262196795238766,0.0,1.9289274710843074e-07,6.345439704513733e-07
1528,17,8.98999527511027,0.08618440071738111,8.989993207903346,0.0,0.08618440193408868,0.0,2.0672069229732415e-06,1.216707568030273e-09
1529,17,8.468382666597432,0.06380765830103101,8.468384024705916,0.0,0.06380765636094979,0.0,1.358108484339482e-06,1.940081220674905e-09
1530,17,8.320556562058389,0.18498087006890335,8.320556161335395,0.0,0.18497974152753444,0.0,4.0072299434257275e-07,1.1285413689110513e-06
1531,17,8.567079675672677,0.3689946370212045,8.567079618368856,0.0,0.368992297439286,0.0,5.730382035551429e-08,2.3395819184757194e-06
1532,17,9.14124069703292,0.0034992153484233947,9.141232199863435,0.0,0.003499215336369008,0.0,8.497169485366385e-06,1.2054386568788322e-11
1533,17,8.38202309000698,0.10687424303449887,8.38202324950079,0.0,0.10687422463697215,0.0,1.59493810159006e-07,1.8397526724278634e-08
1534,17,8.57894456883486,0.020017355300067066,8.57894469545987,0.0,0.020017355163330117,0.0,1.2662500914473185e-07,1.3673694815308224e-10
1535,17,8.514026884965926,0.21964215367839568,8.514025626337789,0.0,0.2196419433797516,0.0,1.2586281368243135e-06,2.1029864408217414e-07
